model,time,acc,loss,val_acc,val_loss
model-1720839340,1720839443.464,0.8,0.1427,0.69,0.2093
model-1720839340,1720839443.523,0.66,0.2227,0.53,0.2426
model-1720839340,1720839443.596,0.76,0.1625,0.66,0.1816
model-1720839340,1720839443.663,0.84,0.1296,0.69,0.2408
model-1720839340,1720839443.736,0.66,0.2298,0.72,0.2002
model-1720839340,1720839443.795,0.73,0.1809,0.75,0.2063
model-1720839340,1720839443.87,0.73,0.1746,0.66,0.2057
model-1720839340,1720839443.944,0.8,0.1384,0.56,0.2587
model-1720839340,1720839444.041,0.72,0.185,0.75,0.1545
model-1720839340,1720839444.109,0.7,0.1931,0.75,0.1546
model-1720839340,1720839444.193,0.75,0.1489,0.72,0.1946
model-1720839340,1720839444.259,0.75,0.1661,0.81,0.1275
model-1720839340,1720839444.338,0.76,0.1653,0.62,0.242
model-1720839340,1720839444.399,0.77,0.1592,0.69,0.1646
model-1720839340,1720839444.474,0.75,0.1712,0.69,0.1984
model-1720839340,1720839444.55,0.77,0.1509,0.75,0.1719
model-1720839340,1720839444.605,0.73,0.1693,0.72,0.2063
model-1720839340,1720839444.666,0.79,0.1584,0.66,0.2173
model-1720839340,1720839444.734,0.71,0.1668,0.78,0.1616
model-1720839340,1720839444.794,0.78,0.1567,0.91,0.1309
model-1720839340,1720839444.859,0.77,0.1604,0.69,0.2004
model-1720839340,1720839444.923,0.73,0.1691,0.69,0.1873
model-1720839340,1720839444.977,0.73,0.1751,0.75,0.1619
model-1720839340,1720839445.03,0.68,0.2151,0.69,0.19
model-1720839340,1720839445.084,0.81,0.1325,0.62,0.2197
model-1720839340,1720839445.153,0.73,0.179,0.81,0.1468
model-1720839340,1720839445.229,0.68,0.1887,0.59,0.2217
model-1720839340,1720839445.361,0.71,0.1636,0.81,0.1162
model-1720839340,1720839445.433,0.76,0.1532,0.66,0.2184
model-1720839340,1720839445.489,0.78,0.1673,0.62,0.2162
model-1720839340,1720839445.552,0.81,0.1392,0.62,0.2733
model-1720839340,1720839445.608,0.75,0.1818,0.66,0.2197
model-1720839340,1720839445.679,0.74,0.1706,0.75,0.1654
model-1720839340,1720839445.742,0.77,0.1472,0.69,0.2062
model-1720839340,1720839445.792,0.88,0.1364,0.78,0.1386
model-1720839340,1720839445.865,0.71,0.1999,0.72,0.1764
model-1720839340,1720839445.932,0.76,0.1671,0.75,0.1763
model-1720839340,1720839446.001,0.71,0.1839,0.62,0.231
model-1720839340,1720839446.072,0.68,0.2077,0.78,0.1708
model-1720839340,1720839446.137,0.81,0.1619,0.84,0.1104
model-1720839340,1720839446.195,0.71,0.1979,0.78,0.1573
model-1720839340,1720839446.254,0.79,0.1582,0.69,0.1847
model-1720839340,1720839446.311,0.69,0.1973,0.72,0.1541
model-1720839340,1720839446.374,0.7,0.1768,0.78,0.1608
model-1720839340,1720839446.429,0.76,0.1605,0.72,0.1789
model-1720839340,1720839446.503,0.73,0.1743,0.75,0.1667
model-1720839340,1720839446.559,0.78,0.1525,0.84,0.1285
model-1720839340,1720839446.625,0.81,0.1416,0.78,0.1445
model-1720839340,1720839446.71,0.7,0.1835,0.78,0.1889
model-1720839340,1720839446.81,0.75,0.1593,0.75,0.1523
model-1720839340,1720839446.882,0.81,0.1433,0.66,0.2447
model-1720839340,1720839446.97,0.75,0.1673,0.88,0.1073
model-1720839340,1720839447.055,0.72,0.1856,0.69,0.2095
model-1720839340,1720839447.134,0.78,0.1608,0.84,0.1173
model-1720839340,1720839447.212,0.73,0.2099,0.53,0.2142
model-1720839340,1720839447.274,0.81,0.1582,0.62,0.2083
model-1720839340,1720839447.339,0.79,0.1443,0.78,0.1793
model-1720839340,1720839447.401,0.78,0.1699,0.66,0.2276
model-1720839340,1720839447.469,0.67,0.1891,0.75,0.1677
model-1720839340,1720839447.541,0.7,0.1993,0.69,0.2096
model-1720839340,1720839447.671,0.66,0.2108,0.69,0.1896
model-1720839340,1720839447.79,0.76,0.1537,0.75,0.1778
model-1720839340,1720839447.89,0.8,0.1738,0.84,0.161
model-1720839340,1720839448.017,0.77,0.1618,0.88,0.1218
model-1720839340,1720839448.087,0.8,0.1532,0.69,0.1764
model-1720839340,1720839448.147,0.67,0.211,0.81,0.1401
model-1720839340,1720839448.294,0.77,0.1536,0.84,0.1231
model-1720839340,1720839448.403,0.78,0.1884,0.88,0.1437
model-1720839340,1720839448.468,0.8,0.1496,0.81,0.1173
model-1720839340,1720839448.547,0.77,0.1628,0.69,0.193
model-1720839340,1720839448.616,0.7,0.1906,0.75,0.1874
model-1720839340,1720839448.675,0.75,0.1826,0.66,0.1966
model-1720839340,1720839448.75,0.76,0.1671,0.62,0.2211
model-1720839340,1720839448.806,0.74,0.161,0.78,0.1715
model-1720839340,1720839448.863,0.78,0.1512,0.81,0.1318
model-1720839340,1720839448.94,0.72,0.1691,0.69,0.2176
model-1720839340,1720839449.048,0.81,0.1294,0.84,0.1575
model-1720839340,1720839449.116,0.74,0.1505,0.69,0.2173
model-1720839340,1720839449.172,0.73,0.1551,0.62,0.2417
model-1720839340,1720839449.234,0.77,0.1472,0.72,0.1682
model-1720839340,1720839449.292,0.79,0.1494,0.69,0.1964
model-1720839340,1720839449.379,0.73,0.1808,0.69,0.2236
model-1720839340,1720839449.431,0.85,0.1165,0.72,0.1952
model-1720839340,1720839449.497,0.81,0.1427,0.88,0.0861
model-1720839340,1720839449.581,0.85,0.1161,0.66,0.1924
model-1720839340,1720839449.653,0.79,0.1648,0.66,0.1933
model-1720839340,1720839449.756,0.73,0.1608,0.94,0.0827
model-1720839340,1720839449.839,0.78,0.1621,0.69,0.2249
model-1720839340,1720839449.912,0.83,0.1227,0.84,0.1074
model-1720839340,1720839450.026,0.79,0.1625,0.75,0.1788
model-1720839340,1720839450.099,0.76,0.1751,0.62,0.2535
model-1720839340,1720839450.163,0.76,0.1701,0.66,0.2074
model-1720839340,1720839450.223,0.8,0.1427,0.62,0.2403
model-1720839340,1720839450.289,0.81,0.1544,0.72,0.1797
model-1720839340,1720839450.36,0.73,0.1804,0.59,0.2707
model-1720839340,1720839450.455,0.74,0.1851,0.53,0.3032
model-1720839340,1720839450.543,0.76,0.1702,0.72,0.197
model-1720839340,1720839450.68,0.76,0.1816,0.81,0.1167
model-1720839340,1720839450.789,0.76,0.1751,0.66,0.2278
model-1720839340,1720839450.862,0.82,0.1478,0.59,0.2585
model-1720839340,1720839450.936,0.78,0.1482,0.69,0.2037
model-1720839340,1720839451.068,0.73,0.1864,0.78,0.1339
model-1720839340,1720839451.153,0.75,0.1603,0.56,0.2271
model-1720839340,1720839451.239,0.78,0.148,0.84,0.121
model-1720839340,1720839451.325,0.85,0.1292,0.81,0.1227
model-1720839340,1720839451.427,0.7,0.1832,0.72,0.2156
model-1720839340,1720839451.505,0.82,0.1448,0.72,0.1905
model-1720839340,1720839451.57,0.75,0.1753,0.69,0.1763
model-1720839340,1720839451.646,0.69,0.1857,0.75,0.1962
model-1720839340,1720839451.727,0.83,0.1377,0.81,0.123
model-1720839340,1720839451.799,0.78,0.1578,0.69,0.191
model-1720839340,1720839451.874,0.72,0.1636,0.72,0.1803
model-1720839340,1720839451.954,0.71,0.162,0.88,0.1146
model-1720839340,1720839452.023,0.87,0.119,0.84,0.0912
model-1720839340,1720839452.087,0.78,0.1443,0.75,0.1815
model-1720839340,1720839452.161,0.75,0.1701,0.59,0.1985
model-1720839340,1720839452.226,0.76,0.1429,0.75,0.1581
model-1720839340,1720839452.29,0.76,0.1709,0.81,0.1565
model-1720839340,1720839452.363,0.77,0.1702,0.72,0.1597
model-1720839340,1720839452.431,0.78,0.1453,0.78,0.1576
model-1720839340,1720839452.489,0.85,0.1289,0.72,0.2148
model-1720839340,1720839452.548,0.73,0.161,0.69,0.2081
model-1720839340,1720839452.608,0.78,0.1554,0.69,0.1941
model-1720839340,1720839452.67,0.77,0.1605,0.75,0.1723
model-1720839340,1720839452.725,0.81,0.1395,0.72,0.1939
model-1720839340,1720839452.784,0.85,0.1325,0.75,0.1762
model-1720839340,1720839452.852,0.77,0.1758,0.72,0.2124
model-1720839340,1720839452.922,0.8,0.1524,0.69,0.1927
model-1720839340,1720839452.979,0.8,0.1453,0.66,0.201
model-1720839340,1720839453.045,0.76,0.1639,0.66,0.2234
model-1720839340,1720839453.122,0.81,0.1476,0.75,0.1775
model-1720839340,1720839453.194,0.8,0.1483,0.84,0.1008
model-1720839340,1720839453.252,0.66,0.1927,0.69,0.1696
model-1720839340,1720839453.312,0.8,0.1272,0.75,0.183
model-1720839340,1720839453.366,0.72,0.1841,0.78,0.1315
model-1720839340,1720839453.423,0.76,0.1897,0.78,0.1684
model-1720839340,1720839453.483,0.76,0.1522,0.75,0.1856
model-1720839340,1720839453.548,0.85,0.1289,0.81,0.1478
model-1720839340,1720839453.604,0.73,0.1842,0.72,0.1863
model-1720839340,1720839453.657,0.81,0.1463,0.69,0.1964
model-1720839340,1720839453.711,0.82,0.126,0.84,0.1071
model-1720839340,1720839453.777,0.72,0.1737,0.72,0.2015
model-1720839340,1720839453.84,0.79,0.1468,0.69,0.2201
model-1720839340,1720839453.9,0.68,0.1953,0.66,0.221
model-1720839340,1720839453.971,0.79,0.1474,0.78,0.1383
model-1720839340,1720839454.046,0.84,0.141,0.72,0.2105
model-1720839340,1720839454.124,0.72,0.1954,0.66,0.1984
model-1720839340,1720839454.186,0.77,0.1653,0.84,0.1554
model-1720839340,1720839454.242,0.79,0.1645,0.59,0.2203
model-1720839340,1720839454.297,0.81,0.1572,0.81,0.1238
model-1720839340,1720839454.354,0.72,0.1657,0.56,0.2983
model-1720839340,1720839454.423,0.78,0.1799,0.59,0.25
model-1720839340,1720839454.479,0.76,0.1605,0.69,0.2102
model-1720839340,1720839454.532,0.71,0.1989,0.75,0.1675
model-1720839340,1720839454.588,0.8,0.1411,0.62,0.2164
model-1720839340,1720839454.643,0.78,0.1481,0.72,0.1747
model-1720839340,1720839454.701,0.79,0.1511,0.78,0.1706
model-1720839340,1720839454.864,0.77,0.1605,0.75,0.1819
model-1720839340,1720839454.936,0.7,0.1837,0.66,0.2215
model-1720839340,1720839455.002,0.8,0.1553,0.69,0.1549
model-1720839340,1720839455.08,0.74,0.1663,0.72,0.1804
model-1720839340,1720839455.155,0.76,0.156,0.75,0.19
model-1720839340,1720839455.245,0.74,0.1698,0.72,0.1622
model-1720839340,1720839455.31,0.78,0.1673,0.66,0.2069
model-1720839340,1720839455.38,0.8,0.1604,0.56,0.2231
model-1720839340,1720839455.444,0.68,0.2126,0.69,0.2
model-1720839340,1720839455.51,0.76,0.1715,0.88,0.1242
model-1720839340,1720839455.586,0.78,0.1522,0.72,0.1446
model-1720839340,1720839455.666,0.74,0.156,0.81,0.1291
model-1720839340,1720839455.732,0.81,0.1407,0.69,0.2073
model-1720839340,1720839455.794,0.72,0.1988,0.72,0.1841
model-1720839340,1720839455.851,0.82,0.1349,0.62,0.2398
model-1720839340,1720839455.924,0.77,0.1396,0.62,0.2055
model-1720839340,1720839456.006,0.78,0.1591,0.72,0.1469
model-1720839340,1720839456.067,0.79,0.1424,0.59,0.2268
model-1720839340,1720839456.125,0.7,0.1655,0.75,0.1863
model-1720839340,1720839456.182,0.71,0.1692,0.69,0.2515
model-1720839340,1720839456.24,0.8,0.1498,0.69,0.2017
model-1720839340,1720839456.294,0.73,0.1817,0.84,0.1132
model-1720839340,1720839456.355,0.78,0.1486,0.59,0.22
model-1720839340,1720839456.42,0.77,0.1728,0.69,0.1589
model-1720839340,1720839456.49,0.78,0.1603,0.75,0.1824
model-1720839340,1720839456.55,0.72,0.1604,0.84,0.1445
model-1720839340,1720839456.61,0.78,0.1658,0.84,0.1191
model-1720839340,1720839456.674,0.72,0.1794,0.72,0.1897
model-1720839340,1720839456.743,0.77,0.1684,0.72,0.1803
model-1720839340,1720839456.798,0.75,0.1486,0.66,0.2145
model-1720839340,1720839456.86,0.78,0.1527,0.72,0.1644
model-1720839340,1720839456.924,0.75,0.1512,0.69,0.2083
model-1720839340,1720839456.989,0.7,0.1922,0.62,0.1942
model-1720839340,1720839457.127,0.79,0.1308,0.62,0.1851
model-1720839340,1720839457.201,0.71,0.1702,0.75,0.1539
model-1720839340,1720839457.27,0.73,0.1829,0.75,0.1749
model-1720839340,1720839457.33,0.75,0.1584,0.84,0.1465
model-1720839340,1720839457.387,0.71,0.1767,0.84,0.1368
model-1720839340,1720839457.456,0.74,0.1849,0.81,0.1665
model-1720839340,1720839457.516,0.82,0.1435,0.66,0.2619
model-1720839340,1720839457.574,0.73,0.171,0.78,0.1768
model-1720839340,1720839457.632,0.78,0.1688,0.91,0.0903
model-1720839340,1720839457.69,0.75,0.1593,0.69,0.1989
model-1720839340,1720839457.774,0.79,0.1617,0.72,0.2169
model-1720839340,1720839457.835,0.71,0.1953,0.81,0.1404
model-1720839340,1720839457.902,0.79,0.1623,0.69,0.2417
model-1720839340,1720839457.971,0.64,0.2337,0.69,0.2232
model-1720839340,1720839458.022,0.84,0.1433,0.72,0.1869
model-1720839340,1720839458.08,0.72,0.1864,0.56,0.259
model-1720839340,1720839458.143,0.82,0.1316,0.75,0.1726
model-1720839340,1720839458.21,0.71,0.2017,0.62,0.2332
model-1720839340,1720839458.278,0.76,0.1631,0.78,0.1495
model-1720839340,1720839458.348,0.76,0.1678,0.81,0.176
model-1720839340,1720839458.412,0.79,0.1461,0.75,0.1473
model-1720839340,1720839458.468,0.76,0.1539,0.62,0.2216
model-1720839340,1720839458.529,0.73,0.1628,0.78,0.1629
model-1720839340,1720839458.588,0.75,0.1704,0.72,0.1913
model-1720839340,1720839458.641,0.68,0.1997,0.81,0.1792
model-1720839340,1720839458.697,0.72,0.1891,0.72,0.1747
model-1720839340,1720839458.773,0.78,0.1608,0.72,0.1683
model-1720839340,1720839458.84,0.72,0.1747,0.72,0.159
model-1720839340,1720839458.91,0.73,0.1636,0.62,0.2178
model-1720839340,1720839459.017,0.77,0.1594,0.69,0.197
model-1720839340,1720839459.095,0.7,0.1879,0.84,0.1278
model-1720839340,1720839459.175,0.71,0.1755,0.59,0.2449
model-1720839340,1720839459.309,0.77,0.1518,0.84,0.1227
model-1720839340,1720839459.376,0.73,0.1696,0.62,0.2468
model-1720839340,1720839459.44,0.76,0.166,0.66,0.1939
model-1720839340,1720839459.497,0.82,0.1353,0.66,0.2156
model-1720839340,1720839459.554,0.67,0.2115,0.72,0.2
model-1720839340,1720839459.615,0.79,0.1506,0.75,0.1649
model-1720839340,1720839459.681,0.85,0.1196,0.72,0.2212
model-1720839340,1720839459.748,0.68,0.2185,0.69,0.1821
model-1720839340,1720839459.809,0.74,0.1758,0.59,0.2796
model-1720839340,1720839459.883,0.78,0.1643,0.66,0.2375
model-1720839340,1720839459.961,0.79,0.1322,0.75,0.1563
model-1720839340,1720839460.106,0.77,0.1801,0.62,0.2404
model-1720839340,1720839460.187,0.69,0.1826,0.62,0.2508
model-1720839340,1720839460.27,0.77,0.1399,0.91,0.1022
model-1720839340,1720839460.345,0.77,0.1598,0.69,0.1739
model-1720839340,1720839460.431,0.8,0.1482,0.94,0.1281
model-1720839340,1720839460.498,0.81,0.1488,0.69,0.1718
model-1720839340,1720839460.563,0.77,0.1664,0.75,0.1632
model-1720839340,1720839460.637,0.82,0.1364,0.72,0.1773
model-1720839340,1720839460.704,0.72,0.1673,0.84,0.1345
model-1720839340,1720839460.758,0.79,0.1493,0.62,0.222
model-1720839340,1720839460.816,0.74,0.1625,0.81,0.1571
model-1720839340,1720839460.905,0.77,0.1495,0.69,0.1781
model-1720839340,1720839461.006,0.8,0.1466,0.69,0.1934
model-1720839340,1720839461.071,0.79,0.1467,0.81,0.1384
model-1720839340,1720839461.125,0.75,0.1644,0.72,0.1799
model-1720839340,1720839461.176,0.68,0.2143,0.84,0.137
model-1720839340,1720839461.241,0.78,0.1322,0.78,0.1443
model-1720839340,1720839461.307,0.79,0.1686,0.78,0.1123
model-1720839340,1720839461.368,0.69,0.1781,0.59,0.2083
model-1720839340,1720839461.436,0.73,0.1532,0.78,0.1425
model-1720839340,1720839461.52,0.78,0.1409,0.81,0.158
model-1720839340,1720839461.587,0.78,0.1624,0.62,0.2314
model-1720839340,1720839461.65,0.8,0.1366,0.72,0.1814
model-1720839340,1720839461.708,0.73,0.17,0.72,0.1609
model-1720839340,1720839461.8,0.74,0.1661,0.66,0.1967
model-1720839340,1720839461.867,0.81,0.132,0.84,0.1106
model-1720839340,1720839461.932,0.87,0.131,0.72,0.1854
model-1720839340,1720839462.214,0.76,0.1781,0.81,0.1736
model-1720839340,1720839462.311,0.79,0.1536,0.69,0.2025
model-1720839340,1720839462.402,0.72,0.1729,0.78,0.1599
model-1720839340,1720839462.484,0.67,0.2052,0.81,0.1314
model-1720839340,1720839462.572,0.8,0.1513,0.69,0.2282
model-1720839340,1720839462.689,0.76,0.1778,0.91,0.0886
model-1720839340,1720839462.852,0.78,0.152,0.69,0.2182
model-1720839340,1720839462.925,0.72,0.1938,0.78,0.1356
model-1720839340,1720839463.006,0.77,0.1648,0.69,0.2107
model-1720839340,1720839463.116,0.78,0.1518,0.59,0.2617
model-1720839340,1720839463.2,0.78,0.1518,0.75,0.1676
model-1720839340,1720839463.28,0.83,0.1382,0.66,0.1853
model-1720839340,1720839463.376,0.8,0.1358,0.75,0.1614
model-1720839340,1720839463.446,0.73,0.1802,0.66,0.188
model-1720839340,1720839463.52,0.78,0.1514,0.75,0.1896
model-1720839340,1720839463.591,0.78,0.1339,0.72,0.1488
model-1720839340,1720839463.671,0.74,0.1595,0.84,0.1381
model-1720839340,1720839463.73,0.72,0.1746,0.66,0.2226
model-1720839340,1720839463.802,0.76,0.1555,0.72,0.2117
model-1720839340,1720839463.882,0.74,0.1967,0.84,0.1302
model-1720839340,1720839463.953,0.79,0.1448,0.69,0.1742
model-1720839340,1720839464.027,0.79,0.1307,0.75,0.1808
model-1720839340,1720839464.108,0.8,0.1669,0.69,0.2028
model-1720839340,1720839464.177,0.72,0.1774,0.69,0.1859
model-1720839340,1720839464.254,0.77,0.1788,0.81,0.1277
model-1720839340,1720839464.314,0.67,0.2017,0.81,0.1315
model-1720839340,1720839464.378,0.78,0.1457,0.75,0.1478
model-1720839340,1720839464.438,0.85,0.1605,0.75,0.1852
model-1720839340,1720839464.518,0.75,0.1547,0.66,0.2079
model-1720839340,1720839464.603,0.81,0.1386,0.75,0.1623
model-1720839340,1720839464.704,0.69,0.199,0.78,0.1626
model-1720839340,1720839464.804,0.8,0.1405,0.72,0.1835
model-1720839340,1720839464.89,0.78,0.1769,0.69,0.2013
model-1720839340,1720839464.989,0.81,0.1387,0.81,0.1533
model-1720839340,1720839465.083,0.78,0.1571,0.69,0.1591
model-1720839340,1720839465.166,0.76,0.1739,0.78,0.156
model-1720839340,1720839465.236,0.75,0.1751,0.66,0.1725
model-1720839340,1720839465.3,0.78,0.1521,0.78,0.1716
model-1720839340,1720839465.372,0.74,0.156,0.78,0.1763
model-1720839340,1720839465.432,0.79,0.1403,0.72,0.2335
model-1720839340,1720839465.493,0.82,0.1506,0.81,0.1573
model-1720839340,1720839465.558,0.87,0.1147,0.75,0.1836
model-1720839340,1720839465.622,0.79,0.1399,0.78,0.1542
model-1720839340,1720839465.695,0.76,0.1461,0.84,0.1163
model-1720839340,1720839465.785,0.81,0.1356,0.72,0.1789
model-1720839340,1720839465.849,0.78,0.1512,0.62,0.1975
model-1720839340,1720839465.907,0.75,0.1731,0.81,0.141
model-1720839340,1720839465.973,0.82,0.1212,0.78,0.1417
model-1720839340,1720839466.084,0.85,0.1236,0.88,0.1132
model-1720839340,1720839466.14,0.84,0.1119,0.78,0.154
model-1720839340,1720839466.195,0.77,0.1652,0.72,0.1542
model-1720839340,1720839466.254,0.83,0.1455,0.91,0.0781
model-1720839340,1720839466.313,0.76,0.1545,0.84,0.1105
model-1720839340,1720839466.373,0.85,0.1152,0.81,0.1404
model-1720839340,1720839466.431,0.78,0.1602,0.59,0.2416
model-1720839340,1720839466.49,0.79,0.1708,0.78,0.1368
model-1720839340,1720839466.561,0.77,0.1599,0.75,0.1813
model-1720839340,1720839466.634,0.82,0.1368,0.81,0.1414
model-1720839340,1720839466.698,0.84,0.1418,0.69,0.1642
model-1720839340,1720839466.764,0.8,0.1632,0.81,0.1472
model-1720839340,1720839466.834,0.75,0.1734,0.72,0.1906
model-1720839340,1720839466.902,0.77,0.1633,0.53,0.2984
model-1720839340,1720839467.066,0.76,0.1713,0.78,0.1585
model-1720839340,1720839467.2,0.76,0.1731,0.84,0.1294
model-1720839340,1720839467.324,0.86,0.1333,0.75,0.1893
model-1720839340,1720839467.43,0.78,0.1385,0.81,0.1671
model-1720839340,1720839467.509,0.75,0.1769,0.78,0.1563
model-1720839340,1720839467.604,0.77,0.1472,0.72,0.1828
model-1720839340,1720839467.67,0.81,0.1429,0.72,0.1914
model-1720839340,1720839467.747,0.85,0.1233,0.88,0.1279
model-1720839340,1720839467.813,0.75,0.1685,0.75,0.1856
model-1720839340,1720839467.89,0.84,0.14,0.66,0.2396
model-1720839340,1720839467.987,0.74,0.1794,0.72,0.1948
model-1720839340,1720839468.073,0.76,0.1645,0.81,0.1266
model-1720839340,1720839468.174,0.84,0.1194,0.66,0.2045
model-1720839340,1720839468.29,0.78,0.1577,0.75,0.1768
model-1720839340,1720839468.369,0.74,0.1622,0.66,0.1554
model-1720839340,1720839468.447,0.76,0.1487,0.72,0.1915
model-1720839340,1720839468.517,0.87,0.1132,0.72,0.1933
model-1720839340,1720839468.584,0.76,0.161,0.66,0.2096
model-1720839340,1720839468.643,0.75,0.1614,0.88,0.0973
model-1720839340,1720839468.714,0.81,0.1323,0.78,0.1347
model-1720839340,1720839468.809,0.78,0.1609,0.72,0.2118
model-1720839340,1720839468.905,0.76,0.1744,0.81,0.1329
model-1720839340,1720839469.005,0.8,0.1386,0.75,0.1485
model-1720839340,1720839469.079,0.82,0.1285,0.84,0.1477
model-1720839340,1720839469.149,0.76,0.1528,0.81,0.1596
model-1720839340,1720839469.216,0.77,0.1577,0.69,0.1764
model-1720839340,1720839469.285,0.79,0.1585,0.59,0.2516
model-1720839340,1720839469.346,0.82,0.1402,0.75,0.1633
model-1720839340,1720839469.414,0.84,0.1249,0.59,0.2071
model-1720839340,1720839469.475,0.75,0.1684,0.78,0.1541
model-1720839340,1720839469.535,0.81,0.139,0.59,0.2546
model-1720839340,1720839469.608,0.82,0.1431,0.72,0.1984
model-1720839340,1720839469.697,0.76,0.1611,0.69,0.198
model-1720839340,1720839469.806,0.8,0.1349,0.84,0.1467
model-1720839340,1720839469.974,0.78,0.1459,0.78,0.1595
model-1720839340,1720839470.03,0.71,0.1834,0.69,0.2225
model-1720839340,1720839470.09,0.81,0.1354,0.72,0.189
model-1720839340,1720839470.156,0.71,0.1725,0.75,0.1504
model-1720839340,1720839470.212,0.75,0.1856,0.78,0.164
model-1720839340,1720839470.274,0.79,0.1425,0.81,0.0991
model-1720839340,1720839470.337,0.81,0.1247,0.72,0.1561
model-1720839340,1720839470.399,0.76,0.1816,0.66,0.2013
model-1720839340,1720839470.465,0.81,0.1422,0.81,0.1486
model-1720839340,1720839470.526,0.84,0.1192,0.75,0.1527
model-1720839340,1720839470.59,0.74,0.1653,0.84,0.1324
model-1720839340,1720839470.648,0.8,0.1363,0.84,0.1363
model-1720839340,1720839470.706,0.73,0.1871,0.84,0.1275
model-1720839340,1720839470.768,0.79,0.1417,0.62,0.2167
model-1720839340,1720839470.834,0.84,0.1305,0.78,0.1555
model-1720839340,1720839470.896,0.71,0.1884,0.75,0.1984
model-1720839340,1720839471.012,0.73,0.1667,0.75,0.1832
model-1720839340,1720839471.077,0.81,0.1615,0.69,0.2222
model-1720839340,1720839471.141,0.81,0.152,0.84,0.1574
model-1720839340,1720839471.204,0.76,0.1653,0.72,0.1922
model-1720839340,1720839471.264,0.77,0.1659,0.72,0.181
model-1720839340,1720839471.318,0.76,0.1613,0.78,0.1464
model-1720839340,1720839471.376,0.7,0.1948,0.78,0.1676
model-1720839340,1720839471.438,0.82,0.1334,0.84,0.1665
model-1720839340,1720839471.504,0.82,0.1416,0.78,0.1435
model-1720839340,1720839471.563,0.77,0.1417,0.59,0.2215
model-1720839340,1720839471.621,0.76,0.1577,0.78,0.1339
model-1720839340,1720839471.681,0.79,0.1709,0.75,0.1394
model-1720839340,1720839471.75,0.81,0.1405,0.75,0.1616
model-1720839340,1720839471.811,0.82,0.1528,0.81,0.1535
model-1720839340,1720839471.885,0.78,0.147,0.72,0.2151
model-1720839340,1720839472.023,0.74,0.1634,0.69,0.2031
model-1720839340,1720839472.095,0.8,0.1532,0.75,0.1494
model-1720839340,1720839472.166,0.76,0.1572,0.72,0.1764
model-1720839340,1720839472.237,0.71,0.1995,0.62,0.1993
model-1720839340,1720839472.297,0.81,0.1546,0.69,0.2017
model-1720839340,1720839472.357,0.81,0.1501,0.69,0.202
model-1720839340,1720839472.413,0.76,0.1543,0.69,0.213
model-1720839340,1720839472.469,0.84,0.134,0.72,0.1803
model-1720839340,1720839472.547,0.7,0.1923,0.72,0.1629
model-1720839340,1720839472.615,0.81,0.1382,0.72,0.1795
model-1720839340,1720839472.68,0.78,0.1349,0.69,0.1778
model-1720839340,1720839472.746,0.8,0.1562,0.66,0.2048
model-1720839340,1720839472.814,0.82,0.1351,0.69,0.2048
model-1720839340,1720839472.884,0.76,0.1538,0.75,0.175
model-1720839340,1720839472.96,0.74,0.1575,0.91,0.103
model-1720839340,1720839473.033,0.81,0.1364,0.72,0.1957
model-1720839340,1720839473.095,0.73,0.173,0.69,0.2056
model-1720839340,1720839473.158,0.79,0.1459,0.72,0.1969
model-1720839340,1720839473.22,0.79,0.1643,0.62,0.2352
model-1720839340,1720839473.328,0.78,0.1576,0.72,0.2257
model-1720839340,1720839473.399,0.76,0.15,0.72,0.1771
model-1720839340,1720839473.484,0.77,0.1621,0.62,0.2076
model-1720839340,1720839473.551,0.71,0.1833,0.62,0.2226
model-1720839340,1720839473.614,0.77,0.1566,0.88,0.1314
model-1720839340,1720839473.682,0.8,0.142,0.62,0.229
model-1720839340,1720839473.743,0.81,0.1436,0.78,0.1681
model-1720839340,1720839473.807,0.74,0.1608,0.78,0.151
model-1720839340,1720839473.871,0.72,0.1933,0.69,0.1765
model-1720839340,1720839473.932,0.81,0.1228,0.81,0.1266
model-1720839340,1720839473.999,0.73,0.1645,0.69,0.2081
model-1720839340,1720839474.089,0.75,0.1712,0.78,0.1489
model-1720839340,1720839474.148,0.76,0.1467,0.75,0.1672
model-1720839340,1720839474.21,0.73,0.163,0.66,0.2049
model-1720839340,1720839474.29,0.78,0.171,0.75,0.156
model-1720839340,1720839474.364,0.82,0.1383,0.72,0.1922
model-1720839340,1720839474.444,0.74,0.1694,0.62,0.2067
model-1720839340,1720839474.519,0.81,0.1672,0.72,0.1777
model-1720839340,1720839474.577,0.83,0.1472,0.81,0.133
model-1720839340,1720839474.647,0.77,0.1643,0.5,0.2727
model-1720839340,1720839474.736,0.7,0.1998,0.72,0.1825
model-1720839340,1720839474.805,0.79,0.158,0.69,0.2203
model-1720839340,1720839474.866,0.65,0.2268,0.75,0.1918
model-1720839340,1720839474.925,0.8,0.1482,0.88,0.1181
model-1720839340,1720839474.987,0.72,0.1779,0.84,0.1148
model-1720839340,1720839475.049,0.83,0.1329,0.81,0.1405
model-1720839340,1720839475.11,0.74,0.1833,0.81,0.1264
model-1720839340,1720839475.163,0.78,0.1526,0.75,0.1571
model-1720839340,1720839475.215,0.79,0.1548,0.69,0.1947
model-1720839340,1720839475.268,0.83,0.1397,0.78,0.197
model-1720839340,1720839475.329,0.77,0.1493,0.62,0.2342
model-1720839340,1720839475.386,0.75,0.1552,0.94,0.0995
model-1720839340,1720839475.447,0.77,0.1658,0.75,0.1667
