model,time,acc,loss,val_acc,val_loss
model-1720839340,1720839368.605,0.72,0.1985,0.78,0.1558
model-1720839340,1720839368.672,0.69,0.2158,0.66,0.1975
model-1720839340,1720839368.735,0.65,0.2233,0.75,0.1997
model-1720839340,1720839368.795,0.58,0.2289,0.59,0.2279
model-1720839340,1720839368.857,0.7,0.2086,0.84,0.1802
model-1720839340,1720839368.927,0.7,0.2125,0.72,0.2091
model-1720839340,1720839369.011,0.64,0.2169,0.69,0.215
model-1720839340,1720839369.082,0.68,0.2066,0.59,0.2569
model-1720839340,1720839369.155,0.62,0.2145,0.69,0.1839
model-1720839340,1720839369.219,0.71,0.1992,0.59,0.2545
model-1720839340,1720839369.283,0.66,0.2229,0.53,0.2744
model-1720839340,1720839369.35,0.68,0.1985,0.5,0.2736
model-1720839340,1720839369.418,0.63,0.2109,0.56,0.2465
model-1720839340,1720839369.495,0.67,0.2288,0.66,0.2003
model-1720839340,1720839369.561,0.61,0.2228,0.5,0.2194
model-1720839340,1720839369.629,0.55,0.2508,0.59,0.2334
model-1720839340,1720839369.704,0.74,0.1891,0.59,0.2476
model-1720839340,1720839369.779,0.72,0.2085,0.62,0.211
model-1720839340,1720839369.858,0.68,0.2013,0.69,0.2119
model-1720839340,1720839369.936,0.66,0.2204,0.69,0.2106
model-1720839340,1720839370.021,0.67,0.2177,0.75,0.1976
model-1720839340,1720839370.101,0.7,0.2154,0.59,0.2477
model-1720839340,1720839370.185,0.63,0.2354,0.69,0.2067
model-1720839340,1720839370.249,0.69,0.2071,0.62,0.227
model-1720839340,1720839370.314,0.64,0.2199,0.56,0.2319
model-1720839340,1720839370.38,0.68,0.2207,0.72,0.2334
model-1720839340,1720839370.449,0.64,0.2139,0.78,0.186
model-1720839340,1720839370.523,0.66,0.2187,0.56,0.2605
model-1720839340,1720839370.61,0.67,0.207,0.69,0.1995
model-1720839340,1720839370.673,0.63,0.2401,0.53,0.2471
model-1720839340,1720839370.743,0.66,0.226,0.59,0.1981
model-1720839340,1720839370.811,0.71,0.2024,0.69,0.1858
model-1720839340,1720839370.886,0.7,0.203,0.62,0.2231
model-1720839340,1720839370.975,0.71,0.2193,0.38,0.306
model-1720839340,1720839371.056,0.67,0.2197,0.66,0.2227
model-1720839340,1720839371.129,0.57,0.2209,0.69,0.1932
model-1720839340,1720839371.2,0.68,0.2223,0.5,0.2754
model-1720839340,1720839371.268,0.66,0.2163,0.59,0.2304
model-1720839340,1720839371.346,0.63,0.2092,0.59,0.2474
model-1720839340,1720839371.415,0.58,0.2254,0.72,0.198
model-1720839340,1720839371.498,0.65,0.2152,0.59,0.2088
model-1720839340,1720839371.567,0.58,0.2394,0.53,0.2331
model-1720839340,1720839371.629,0.62,0.225,0.78,0.1716
model-1720839340,1720839371.695,0.68,0.1917,0.59,0.2225
model-1720839340,1720839371.776,0.66,0.2107,0.69,0.1892
model-1720839340,1720839371.86,0.7,0.2002,0.75,0.1723
model-1720839340,1720839371.936,0.55,0.2665,0.62,0.2261
model-1720839340,1720839372.027,0.67,0.2212,0.69,0.1977
model-1720839340,1720839372.107,0.69,0.2145,0.69,0.1994
model-1720839340,1720839372.172,0.65,0.2175,0.59,0.2343
model-1720839340,1720839372.232,0.68,0.2057,0.62,0.2581
model-1720839340,1720839372.303,0.69,0.2122,0.69,0.2044
model-1720839340,1720839372.363,0.68,0.2209,0.75,0.1847
model-1720839340,1720839372.428,0.7,0.198,0.72,0.1813
model-1720839340,1720839372.494,0.62,0.226,0.5,0.2621
model-1720839340,1720839372.563,0.64,0.2217,0.62,0.2071
model-1720839340,1720839372.626,0.66,0.2231,0.66,0.2244
model-1720839340,1720839372.689,0.59,0.2299,0.56,0.2491
model-1720839340,1720839372.747,0.57,0.2354,0.62,0.2537
model-1720839340,1720839372.806,0.71,0.2033,0.66,0.2043
model-1720839340,1720839372.865,0.67,0.2106,0.62,0.232
model-1720839340,1720839372.939,0.67,0.2085,0.5,0.2344
model-1720839340,1720839373.002,0.7,0.1932,0.66,0.2127
model-1720839340,1720839373.068,0.72,0.2044,0.69,0.198
model-1720839340,1720839373.136,0.61,0.2257,0.66,0.228
model-1720839340,1720839373.22,0.59,0.242,0.75,0.1874
model-1720839340,1720839373.291,0.63,0.2195,0.47,0.2454
model-1720839340,1720839373.357,0.63,0.2183,0.59,0.2347
model-1720839340,1720839373.427,0.64,0.226,0.69,0.2188
model-1720839340,1720839373.494,0.64,0.2282,0.59,0.2474
model-1720839340,1720839373.562,0.67,0.2076,0.78,0.1958
model-1720839340,1720839373.638,0.6,0.2305,0.75,0.2072
model-1720839340,1720839373.71,0.65,0.221,0.56,0.2362
model-1720839340,1720839373.782,0.61,0.2279,0.72,0.1973
model-1720839340,1720839373.852,0.69,0.2096,0.66,0.2041
model-1720839340,1720839373.924,0.63,0.2323,0.72,0.1873
model-1720839340,1720839373.997,0.68,0.2186,0.72,0.2166
model-1720839340,1720839374.064,0.7,0.2159,0.66,0.2287
model-1720839340,1720839374.128,0.7,0.2035,0.62,0.2155
model-1720839340,1720839374.271,0.5,0.2922,0.59,0.2171
model-1720839340,1720839374.349,0.67,0.211,0.72,0.2277
model-1720839340,1720839374.414,0.56,0.2412,0.62,0.2018
model-1720839340,1720839374.481,0.78,0.1805,0.62,0.2238
model-1720839340,1720839374.554,0.57,0.2568,0.56,0.2259
model-1720839340,1720839374.62,0.59,0.244,0.5,0.2601
model-1720839340,1720839374.703,0.63,0.2276,0.44,0.2653
model-1720839340,1720839374.78,0.68,0.2097,0.59,0.2372
model-1720839340,1720839374.851,0.62,0.2251,0.56,0.2683
model-1720839340,1720839374.923,0.64,0.2186,0.72,0.2038
model-1720839340,1720839375.008,0.61,0.2278,0.5,0.2646
model-1720839340,1720839375.071,0.7,0.2198,0.59,0.2409
model-1720839340,1720839375.124,0.6,0.2301,0.62,0.2375
model-1720839340,1720839375.178,0.63,0.2311,0.59,0.2355
model-1720839340,1720839375.246,0.6,0.2408,0.66,0.2082
model-1720839340,1720839375.316,0.71,0.2118,0.75,0.2065
model-1720839340,1720839375.401,0.69,0.2111,0.47,0.2431
model-1720839340,1720839375.481,0.69,0.2186,0.62,0.2223
model-1720839340,1720839375.569,0.69,0.2099,0.56,0.2311
model-1720839340,1720839375.641,0.54,0.2495,0.75,0.1838
model-1720839340,1720839375.719,0.64,0.2248,0.88,0.1704
model-1720839340,1720839375.803,0.66,0.2138,0.62,0.2209
model-1720839340,1720839375.876,0.73,0.2002,0.53,0.2494
model-1720839340,1720839375.945,0.64,0.219,0.66,0.228
model-1720839340,1720839376.021,0.6,0.22,0.69,0.1924
model-1720839340,1720839376.091,0.66,0.2046,0.72,0.1794
model-1720839340,1720839376.155,0.52,0.2789,0.62,0.2324
model-1720839340,1720839376.225,0.66,0.2145,0.59,0.2335
model-1720839340,1720839376.319,0.75,0.1957,0.66,0.2176
model-1720839340,1720839376.398,0.7,0.2094,0.66,0.2312
model-1720839340,1720839376.475,0.63,0.22,0.56,0.2828
model-1720839340,1720839376.548,0.59,0.2307,0.59,0.243
model-1720839340,1720839376.608,0.77,0.1845,0.62,0.2171
model-1720839340,1720839376.675,0.65,0.2204,0.59,0.2321
model-1720839340,1720839376.738,0.64,0.2094,0.75,0.1946
model-1720839340,1720839376.799,0.7,0.2067,0.62,0.2597
model-1720839340,1720839376.882,0.69,0.2049,0.62,0.2201
model-1720839340,1720839376.967,0.72,0.1973,0.66,0.2474
model-1720839340,1720839377.046,0.67,0.2091,0.69,0.1993
model-1720839340,1720839377.117,0.67,0.2075,0.84,0.1493
model-1720839340,1720839377.196,0.66,0.2095,0.66,0.1907
model-1720839340,1720839377.272,0.7,0.2101,0.66,0.192
model-1720839340,1720839377.342,0.67,0.2146,0.72,0.1979
model-1720839340,1720839377.412,0.65,0.215,0.56,0.2445
